id,title,user_id,rate,view,like,cook_duration,cook_preparation,serve_portion,description,created_at,updated_at,deleted_at
54,Easy Coleslaw Dressing,2,4.8,0,2080,0,10,0,A creamy coleslaw dressing that can be made with ingredients you already have! You can pour it immediately over a 14-ounce package of coleslaw mix or refrigerate until needed. ,,,
55,Simple Roasted Butternut Squash,2,4.726057906458798,0,1347,25,15,0,"Butternut squash is so good on its own, that barely any seasoning is needed. This recipe is so simple and easy. ",,,
56,Juicy Roasted Chicken,2,4.712,0,4000,75,10,0,My grandmother's recipe for roasted chicken. We are German and she used to do it this way all the time. I never have had a chicken this juicy before; this little trick works and makes the people eating it go silent. It's funny. We nibble on the celery after. ,,,
57,Jiffy® Corn Casserole,2,4.571428571428571,0,28,50,20,0,"My mother won an award many, many years ago with this recipe in the Arizona Republic newspaper. I think it is delish and so different from a lot of other corn casseroles. Everybody I know asks for this recipe so I am giving it to everyone! Enjoy! ",,,
58,Homemade Mac and Cheese,2,4.160714285714286,0,2576,30,20,0,This is a nice rich mac and cheese. Serve with a salad for a great meatless dinner. Hope you enjoy it. ,,,
59,Easy Sausage Gravy and Biscuits,2,4.813236627379873,0,1103,10,5,0,"Hot jumbo buttermilk biscuits with creamy sausage gravy are ready in just 15 minutes for a hearty, family-favorite breakfast. ",,,
60,Monterey Chicken,2,4.589830508474576,0,295,15,45,0,"Classic Monterey Chicken with sauteed onions, peppers and mushrooms. It's worth the extra time!! ",,,
61,Apple Pie by Grandma Ople,2,4.778871220020855,0,15344,60,30,0,This was my grandmother's apple pie recipe. I have never seen another one quite like it. It will always be my favorite and has won me several first place prizes in local competitions. I hope it becomes one of your favorites as well! ,,,
62,Basic Crepes,2,4.615072316670895,0,3941,20,10,0,Here is a simple but delicious crepe batter which can be made in minutes. It's made from ingredients that everyone has on hand. ,,,
63,Slow Cooker Texas Pulled Pork,2,4.5236363636363635,0,3025,300,15,0,"Slow cooked, Texas-style pulled pork that is served on a buttered and toasted roll. My family's favorite. ",,,
64,Basic Mashed Potatoes,2,4.515151515151516,0,594,20,15,0,"If you love good, old fashioned mashed potatoes this is the perfect recipe. Simple and delicious. ",,,
65,Cheesy Baked Eggs,2,4.792792792792793,0,111,60,15,0,"This basically is eggs, on top of cheese, on top of cheese, on top of eggs making an interesting concoction of eggs, cheese, and flour. To add a little extra kick, add a small can of diced chiles or jalapenos into the mix. Serve with sour cream, salsa, and green taco sauce. ",,,
66,Yummy Sweet Potato Casserole,2,4.78464276633613,0,3933,30,30,0,My family begs me to make this creamy baked dish every Thanksgiving and Christmas. What makes it so good is the pecan topping! Try it and I'm sure it will become your new tradition! ,,,
67,Butternut Squash Soup II,2,4.639331210191083,0,2512,45,25,0,"This is a thick, rich soup with tons of flavor. Something I whipped up off the top of my head, with things I had on hand. Super easy, quick, and a great way to use squash. An instant hit at my house. ",,,
68,Grilled Cheese of the Gods,2,4.5,0,40,6,10,0,"This easy gourmet sandwich is so good, you would serve it to the president if you had him over for dinner. As far as grilled cheese goes, this is it! Serve with a nice gourmet Italian salad. ",,,
69,Roasted Brussels Sprouts with Parmesan,2,4.653061224489796,0,49,20,10,0,"Balsamic vinegar adds a punch of flavor to these easy roasted Brussels sprouts, while the Parmesan provides a melty, cheesy finish. ",,,
70,Perfect Pumpkin Pie,2,4.669997145304025,0,3503,55,15,0,The one and only! EAGLE BRAND® makes this traditional dessert the perfect ending to a Thanksgiving feast. ,,,
71,Taco Seasoning I,2,4.823213600920363,0,7823,0,1,0,"Depending on how spicy you and your family like your dishes, use as little or as much as you want. ",,,
72,Hamburger Steak with Onions and Gravy,2,4.613703339882122,0,4072,25,15,0,"An easy-to-make classic featuring tasty hamburger 'steaks' smothered in gravy and onions. Traditionally served with hot white rice or potatoes, it's a great way to dress up a pound of ground beef and you probably have all the ingredients on hand! ",,,
73,Banana Banana Bread,2,4.59207386006783,0,15922,65,15,0,Why compromise the banana flavor? This banana bread is moist and delicious with loads of banana flavor! Friends and family love my recipe and say it's by far the best! It's wonderful toasted!! Enjoy! ,,,
74,Easy Sugar Cookies,2,4.465844636251541,0,8110,0,0,0,"Quick and easy sugar cookies! They are really good, plain or with candies in them. My friend uses chocolate mints on top, and they're great! ",,,
75,Best Green Bean Casserole,2,4.6329837940896095,0,1049,15,10,0,This great variation of the traditional green bean casserole is topped with French fried onions and Cheddar cheese. ,,,
76,Guacamole,2,4.805727860630856,0,7577,0,10,0,You can make this avocado salad smooth or chunky depending on your tastes. ,,,
77,Easy Coleslaw Dressing,2,4.8,0,2080,0,10,0,A creamy coleslaw dressing that can be made with ingredients you already have! You can pour it immediately over a 14-ounce package of coleslaw mix or refrigerate until needed. ,,,
78,Simple Roasted Butternut Squash,2,4.726057906458798,0,1347,25,15,0,"Butternut squash is so good on its own, that barely any seasoning is needed. This recipe is so simple and easy. ",,,
79,Juicy Roasted Chicken,2,4.712,0,4000,75,10,0,My grandmother's recipe for roasted chicken. We are German and she used to do it this way all the time. I never have had a chicken this juicy before; this little trick works and makes the people eating it go silent. It's funny. We nibble on the celery after. ,,,
80,Jiffy® Corn Casserole,2,4.571428571428571,0,28,50,20,0,"My mother won an award many, many years ago with this recipe in the Arizona Republic newspaper. I think it is delish and so different from a lot of other corn casseroles. Everybody I know asks for this recipe so I am giving it to everyone! Enjoy! ",,,
81,Homemade Mac and Cheese,2,4.160714285714286,0,2576,30,20,0,This is a nice rich mac and cheese. Serve with a salad for a great meatless dinner. Hope you enjoy it. ,,,
82,Easy Sausage Gravy and Biscuits,2,4.813236627379873,0,1103,10,5,0,"Hot jumbo buttermilk biscuits with creamy sausage gravy are ready in just 15 minutes for a hearty, family-favorite breakfast. ",,,
83,Monterey Chicken,2,4.589830508474576,0,295,15,45,0,"Classic Monterey Chicken with sauteed onions, peppers and mushrooms. It's worth the extra time!! ",,,
84,Apple Pie by Grandma Ople,2,4.778871220020855,0,15344,60,30,0,This was my grandmother's apple pie recipe. I have never seen another one quite like it. It will always be my favorite and has won me several first place prizes in local competitions. I hope it becomes one of your favorites as well! ,,,
85,Basic Crepes,2,4.615072316670895,0,3941,20,10,0,Here is a simple but delicious crepe batter which can be made in minutes. It's made from ingredients that everyone has on hand. ,,,
86,Slow Cooker Texas Pulled Pork,2,4.5236363636363635,0,3025,300,15,0,"Slow cooked, Texas-style pulled pork that is served on a buttered and toasted roll. My family's favorite. ",,,
87,Basic Mashed Potatoes,2,4.515151515151516,0,594,20,15,0,"If you love good, old fashioned mashed potatoes this is the perfect recipe. Simple and delicious. ",,,
88,Cheesy Baked Eggs,2,4.792792792792793,0,111,60,15,0,"This basically is eggs, on top of cheese, on top of cheese, on top of eggs making an interesting concoction of eggs, cheese, and flour. To add a little extra kick, add a small can of diced chiles or jalapenos into the mix. Serve with sour cream, salsa, and green taco sauce. ",,,
89,Yummy Sweet Potato Casserole,2,4.78464276633613,0,3933,30,30,0,My family begs me to make this creamy baked dish every Thanksgiving and Christmas. What makes it so good is the pecan topping! Try it and I'm sure it will become your new tradition! ,,,
90,Butternut Squash Soup II,2,4.639331210191083,0,2512,45,25,0,"This is a thick, rich soup with tons of flavor. Something I whipped up off the top of my head, with things I had on hand. Super easy, quick, and a great way to use squash. An instant hit at my house. ",,,
91,Grilled Cheese of the Gods,2,4.5,0,40,6,10,0,"This easy gourmet sandwich is so good, you would serve it to the president if you had him over for dinner. As far as grilled cheese goes, this is it! Serve with a nice gourmet Italian salad. ",,,
92,Roasted Brussels Sprouts with Parmesan,2,4.653061224489796,0,49,20,10,0,"Balsamic vinegar adds a punch of flavor to these easy roasted Brussels sprouts, while the Parmesan provides a melty, cheesy finish. ",,,
93,Perfect Pumpkin Pie,2,4.669997145304025,0,3503,55,15,0,The one and only! EAGLE BRAND® makes this traditional dessert the perfect ending to a Thanksgiving feast. ,,,
94,Taco Seasoning I,2,4.823213600920363,0,7823,0,1,0,"Depending on how spicy you and your family like your dishes, use as little or as much as you want. ",,,
95,Hamburger Steak with Onions and Gravy,2,4.613703339882122,0,4072,25,15,0,"An easy-to-make classic featuring tasty hamburger 'steaks' smothered in gravy and onions. Traditionally served with hot white rice or potatoes, it's a great way to dress up a pound of ground beef and you probably have all the ingredients on hand! ",,,
96,Banana Banana Bread,2,4.59207386006783,0,15922,65,15,0,Why compromise the banana flavor? This banana bread is moist and delicious with loads of banana flavor! Friends and family love my recipe and say it's by far the best! It's wonderful toasted!! Enjoy! ,,,
97,Easy Sugar Cookies,2,4.465844636251541,0,8110,0,0,0,"Quick and easy sugar cookies! They are really good, plain or with candies in them. My friend uses chocolate mints on top, and they're great! ",,,
98,Best Green Bean Casserole,2,4.6329837940896095,0,1049,15,10,0,This great variation of the traditional green bean casserole is topped with French fried onions and Cheddar cheese. ,,,
99,Guacamole,2,4.805727860630856,0,7577,0,10,0,You can make this avocado salad smooth or chunky depending on your tastes. ,,,
100,Easy Coleslaw Dressing,2,4.8,0,2080,0,10,0,A creamy coleslaw dressing that can be made with ingredients you already have! You can pour it immediately over a 14-ounce package of coleslaw mix or refrigerate until needed. ,,,
101,Simple Roasted Butternut Squash,2,4.726057906458798,0,1347,25,15,0,"Butternut squash is so good on its own, that barely any seasoning is needed. This recipe is so simple and easy. ",,,
102,Juicy Roasted Chicken,2,4.712,0,4000,75,10,0,My grandmother's recipe for roasted chicken. We are German and she used to do it this way all the time. I never have had a chicken this juicy before; this little trick works and makes the people eating it go silent. It's funny. We nibble on the celery after. ,,,
103,Jiffy® Corn Casserole,2,4.571428571428571,0,28,50,20,0,"My mother won an award many, many years ago with this recipe in the Arizona Republic newspaper. I think it is delish and so different from a lot of other corn casseroles. Everybody I know asks for this recipe so I am giving it to everyone! Enjoy! ",,,
104,Homemade Mac and Cheese,2,4.160714285714286,0,2576,30,20,0,This is a nice rich mac and cheese. Serve with a salad for a great meatless dinner. Hope you enjoy it. ,,,
105,Easy Sausage Gravy and Biscuits,2,4.813236627379873,0,1103,10,5,0,"Hot jumbo buttermilk biscuits with creamy sausage gravy are ready in just 15 minutes for a hearty, family-favorite breakfast. ",,,
106,Monterey Chicken,2,4.589830508474576,0,295,15,45,0,"Classic Monterey Chicken with sauteed onions, peppers and mushrooms. It's worth the extra time!! ",,,
107,Apple Pie by Grandma Ople,2,4.778871220020855,0,15344,60,30,0,This was my grandmother's apple pie recipe. I have never seen another one quite like it. It will always be my favorite and has won me several first place prizes in local competitions. I hope it becomes one of your favorites as well! ,,,
108,Basic Crepes,2,4.615072316670895,0,3941,20,10,0,Here is a simple but delicious crepe batter which can be made in minutes. It's made from ingredients that everyone has on hand. ,,,
109,Slow Cooker Texas Pulled Pork,2,4.5236363636363635,0,3025,300,15,0,"Slow cooked, Texas-style pulled pork that is served on a buttered and toasted roll. My family's favorite. ",,,
110,Basic Mashed Potatoes,2,4.515151515151516,0,594,20,15,0,"If you love good, old fashioned mashed potatoes this is the perfect recipe. Simple and delicious. ",,,
111,Cheesy Baked Eggs,2,4.792792792792793,0,111,60,15,0,"This basically is eggs, on top of cheese, on top of cheese, on top of eggs making an interesting concoction of eggs, cheese, and flour. To add a little extra kick, add a small can of diced chiles or jalapenos into the mix. Serve with sour cream, salsa, and green taco sauce. ",,,
112,Yummy Sweet Potato Casserole,2,4.78464276633613,0,3933,30,30,0,My family begs me to make this creamy baked dish every Thanksgiving and Christmas. What makes it so good is the pecan topping! Try it and I'm sure it will become your new tradition! ,,,
113,Butternut Squash Soup II,2,4.639331210191083,0,2512,45,25,0,"This is a thick, rich soup with tons of flavor. Something I whipped up off the top of my head, with things I had on hand. Super easy, quick, and a great way to use squash. An instant hit at my house. ",,,
114,Grilled Cheese of the Gods,2,4.5,0,40,6,10,0,"This easy gourmet sandwich is so good, you would serve it to the president if you had him over for dinner. As far as grilled cheese goes, this is it! Serve with a nice gourmet Italian salad. ",,,
115,Roasted Brussels Sprouts with Parmesan,2,4.653061224489796,0,49,20,10,0,"Balsamic vinegar adds a punch of flavor to these easy roasted Brussels sprouts, while the Parmesan provides a melty, cheesy finish. ",,,
116,Perfect Pumpkin Pie,2,4.669997145304025,0,3503,55,15,0,The one and only! EAGLE BRAND® makes this traditional dessert the perfect ending to a Thanksgiving feast. ,,,
117,Taco Seasoning I,2,4.823213600920363,0,7823,0,1,0,"Depending on how spicy you and your family like your dishes, use as little or as much as you want. ",,,
118,Hamburger Steak with Onions and Gravy,2,4.613703339882122,0,4072,25,15,0,"An easy-to-make classic featuring tasty hamburger 'steaks' smothered in gravy and onions. Traditionally served with hot white rice or potatoes, it's a great way to dress up a pound of ground beef and you probably have all the ingredients on hand! ",,,
119,Banana Banana Bread,2,4.59207386006783,0,15922,65,15,0,Why compromise the banana flavor? This banana bread is moist and delicious with loads of banana flavor! Friends and family love my recipe and say it's by far the best! It's wonderful toasted!! Enjoy! ,,,
120,Easy Sugar Cookies,2,4.465844636251541,0,8110,0,0,0,"Quick and easy sugar cookies! They are really good, plain or with candies in them. My friend uses chocolate mints on top, and they're great! ",,,
121,Best Green Bean Casserole,2,4.6329837940896095,0,1049,15,10,0,This great variation of the traditional green bean casserole is topped with French fried onions and Cheddar cheese. ,,,
122,Guacamole,2,4.805727860630856,0,7577,0,10,0,You can make this avocado salad smooth or chunky depending on your tastes. ,,,
123,Easy Coleslaw Dressing,2,4.8,0,2080,0,10,0,A creamy coleslaw dressing that can be made with ingredients you already have! You can pour it immediately over a 14-ounce package of coleslaw mix or refrigerate until needed. ,,,
124,Simple Roasted Butternut Squash,2,4.726057906458798,0,1347,25,15,0,"Butternut squash is so good on its own, that barely any seasoning is needed. This recipe is so simple and easy. ",,,
125,Juicy Roasted Chicken,2,4.712,0,4000,75,10,0,My grandmother's recipe for roasted chicken. We are German and she used to do it this way all the time. I never have had a chicken this juicy before; this little trick works and makes the people eating it go silent. It's funny. We nibble on the celery after. ,,,
126,Jiffy® Corn Casserole,2,4.571428571428571,0,28,50,20,0,"My mother won an award many, many years ago with this recipe in the Arizona Republic newspaper. I think it is delish and so different from a lot of other corn casseroles. Everybody I know asks for this recipe so I am giving it to everyone! Enjoy! ",,,
127,Homemade Mac and Cheese,2,4.160714285714286,0,2576,30,20,0,This is a nice rich mac and cheese. Serve with a salad for a great meatless dinner. Hope you enjoy it. ,,,
128,Easy Sausage Gravy and Biscuits,2,4.813236627379873,0,1103,10,5,0,"Hot jumbo buttermilk biscuits with creamy sausage gravy are ready in just 15 minutes for a hearty, family-favorite breakfast. ",,,
129,Monterey Chicken,2,4.589830508474576,0,295,15,45,0,"Classic Monterey Chicken with sauteed onions, peppers and mushrooms. It's worth the extra time!! ",,,
130,Apple Pie by Grandma Ople,2,4.778871220020855,0,15344,60,30,0,This was my grandmother's apple pie recipe. I have never seen another one quite like it. It will always be my favorite and has won me several first place prizes in local competitions. I hope it becomes one of your favorites as well! ,,,
131,Basic Crepes,2,4.615072316670895,0,3941,20,10,0,Here is a simple but delicious crepe batter which can be made in minutes. It's made from ingredients that everyone has on hand. ,,,
132,Slow Cooker Texas Pulled Pork,2,4.5236363636363635,0,3025,300,15,0,"Slow cooked, Texas-style pulled pork that is served on a buttered and toasted roll. My family's favorite. ",,,
133,Basic Mashed Potatoes,2,4.515151515151516,0,594,20,15,0,"If you love good, old fashioned mashed potatoes this is the perfect recipe. Simple and delicious. ",,,
134,Cheesy Baked Eggs,2,4.792792792792793,0,111,60,15,0,"This basically is eggs, on top of cheese, on top of cheese, on top of eggs making an interesting concoction of eggs, cheese, and flour. To add a little extra kick, add a small can of diced chiles or jalapenos into the mix. Serve with sour cream, salsa, and green taco sauce. ",,,
135,Yummy Sweet Potato Casserole,2,4.78464276633613,0,3933,30,30,0,My family begs me to make this creamy baked dish every Thanksgiving and Christmas. What makes it so good is the pecan topping! Try it and I'm sure it will become your new tradition! ,,,
136,Butternut Squash Soup II,2,4.639331210191083,0,2512,45,25,0,"This is a thick, rich soup with tons of flavor. Something I whipped up off the top of my head, with things I had on hand. Super easy, quick, and a great way to use squash. An instant hit at my house. ",,,
137,Grilled Cheese of the Gods,2,4.5,0,40,6,10,0,"This easy gourmet sandwich is so good, you would serve it to the president if you had him over for dinner. As far as grilled cheese goes, this is it! Serve with a nice gourmet Italian salad. ",,,
138,Roasted Brussels Sprouts with Parmesan,2,4.653061224489796,0,49,20,10,0,"Balsamic vinegar adds a punch of flavor to these easy roasted Brussels sprouts, while the Parmesan provides a melty, cheesy finish. ",,,
139,Perfect Pumpkin Pie,2,4.669997145304025,0,3503,55,15,0,The one and only! EAGLE BRAND® makes this traditional dessert the perfect ending to a Thanksgiving feast. ,,,
140,Taco Seasoning I,2,4.823213600920363,0,7823,0,1,0,"Depending on how spicy you and your family like your dishes, use as little or as much as you want. ",,,
141,Hamburger Steak with Onions and Gravy,2,4.613703339882122,0,4072,25,15,0,"An easy-to-make classic featuring tasty hamburger 'steaks' smothered in gravy and onions. Traditionally served with hot white rice or potatoes, it's a great way to dress up a pound of ground beef and you probably have all the ingredients on hand! ",,,
142,Banana Banana Bread,2,4.59207386006783,0,15922,65,15,0,Why compromise the banana flavor? This banana bread is moist and delicious with loads of banana flavor! Friends and family love my recipe and say it's by far the best! It's wonderful toasted!! Enjoy! ,,,
143,Easy Sugar Cookies,2,4.465844636251541,0,8110,0,0,0,"Quick and easy sugar cookies! They are really good, plain or with candies in them. My friend uses chocolate mints on top, and they're great! ",,,
144,Best Green Bean Casserole,2,4.6329837940896095,0,1049,15,10,0,This great variation of the traditional green bean casserole is topped with French fried onions and Cheddar cheese. ,,,
145,Guacamole,2,4.805727860630856,0,7577,0,10,0,You can make this avocado salad smooth or chunky depending on your tastes. ,,,
